-- ==================================================================================================
-- 
-- Exported from ECL_5SPOT
-- 
-- Exported by user bellout from RMS2013 at 2016-04-24 21:34:56
-- 
-- ==================================================================================================

WELSPECS
 'TW01' 'PRODUC'    1    1  1700.14 'OIL'    0.0 'STD' 'SHUT' 'YES' 0 'SEG' /
/


GRUPTREE
 'PRODUC' 'FIELD' /
 'INJECT' 'FIELD' /
/

COMPDAT
-- --------------------------------------------------------------------------------------------------
 'TW01'    1    1    1    1  'OPEN' 0       0.37774   0.191     27.56535    0.00 0.0 'X'    4.75 /
 'TW01'    2    1    1    1  'OPEN' 0       0.01723   0.191      1.25730    0.00 0.0 'X'    4.75 /
 'TW01'    2    2    1    1  'OPEN' 0       0.44309   0.191     32.33430    0.00 0.0 'X'    4.75 /
 'TW01'    3    2    1    1  'OPEN' 0       0.02876   0.191      2.09885    0.00 0.0 'X'    4.75 /
 'TW01'    3    3    1    1  'OPEN' 0       0.68202   0.191     49.77036    0.00 0.0 'X'    4.75 /
 'TW01'    4    3    1    1  'OPEN' 0       0.04241   0.191      3.09465    0.00 0.0 'X'    4.75 /
 'TW01'    4    4    1    1  'OPEN' 0       0.99191   0.191     72.38564    0.00 0.0 'X'    4.75 /
 'TW01'    5    4    1    1  'OPEN' 0       0.10908   0.191      7.96028    0.00 0.0 'X'    4.75 /
 'TW01'    5    5    1    1  'OPEN' 0       0.87419   0.191     63.79495    0.00 0.0 'X'    4.75 /
 'TW01'    6    5    1    1  'OPEN' 0       1.86024   0.191    135.75153    0.00 0.0 'X'    4.75 /
 'TW01'    6    6    1    1  'OPEN' 0       4.68573   0.191    341.94354    0.00 0.0 'X'    4.75 /
 'TW01'    7    6    1    1  'OPEN' 0       4.07139   0.191    297.11182    0.00 0.0 'X'    4.75 /
 'TW01'    7    7    1    1  'OPEN' 0       9.37334   0.191    684.02350    0.00 0.0 'X'    4.75 /
 'TW01'    8    7    1    1  'OPEN' 0       5.16813   0.191    377.14655    0.00 0.0 'X'    4.75 /
 'TW01'    8    8    1    1  'OPEN' 0      17.53481   0.191   1279.61072    0.00 0.0 'X'    4.75 /
 'TW01'    9    8    1    1  'OPEN' 0       3.17194   0.191    231.47401    0.00 0.0 'X'    4.75 /
 'TW01'    9    9    1    1  'OPEN' 0      18.28358   0.191   1334.25232    0.00 0.0 'X'    4.75 /
 'TW01'   10    9    1    1  'OPEN' 0       2.53079   0.191    184.68530    0.00 0.0 'X'    4.75 /
 'TW01'   10   10    1    1  'OPEN' 0       4.88916   0.191    356.78854    0.00 0.0 'X'    4.75 /
 'TW01'   11   10    1    1  'OPEN' 0       0.58068   0.191     42.37628    0.00 0.0 'X'    4.75 /
 'TW01'   11   11    1    1  'OPEN' 0       1.08036   0.191     78.84064    0.00 0.0 'X'    4.75 /
 'TW01'   12   11    1    1  'OPEN' 0       0.37982   0.191     27.71784    0.00 0.0 'X'    4.75 /
 'TW01'   12   12    1    1  'OPEN' 0       1.10351   0.191     80.53004    0.00 0.0 'X'    4.75 /
 'TW01'   13   12    1    1  'OPEN' 0       0.57378   0.191     41.87247    0.00 0.0 'X'    4.75 /
 'TW01'   13   13    1    1  'OPEN' 0       1.00910   0.191     73.64034    0.00 0.0 'X'    4.75 /
 'TW01'   14   13    1    1  'OPEN' 0       0.42107   0.191     30.72828    0.00 0.0 'X'    4.75 /
